home_team,away_team,home_goals,away_goals
Freiburg,Ein Frankfurt,2,2
St Pauli,Hoffenheim,0,3
Werder Bremen,Union Berlin,1,0
Augsburg,RB Leipzig,0,6
Ein Frankfurt,St Pauli,2,0
Hamburg,Wolfsburg,0,1
Hoffenheim,Heidenheim,3,1
M'gladbach,Bayern Munich,0,3
Dortmund,FC Koln,1,0
Leverkusen,Freiburg,2,0
Stuttgart,Mainz,2,1
Augsburg,Dortmund,0,1
Heidenheim,Ein Frankfurt,1,1
Mainz,Werder Bremen,1,1
RB Leipzig,Stuttgart,3,1
St Pauli,M'gladbach,0,4
Union Berlin,Freiburg,0,0
Bayern Munich,Leverkusen,3,0
FC Koln,Hamburg,4,1
Wolfsburg,Hoffenheim,2,3
Werder Bremen,Wolfsburg,2,1
Hamburg,Dortmund,1,1
Hoffenheim,RB Leipzig,3,1
Leverkusen,Heidenheim,6,0
Union Berlin,Bayern Munich,2,2
M'gladbach,FC Koln,3,1
Freiburg,St Pauli,2,1
Stuttgart,Augsburg,3,2
Ein Frankfurt,Mainz,1,0
Mainz,Hoffenheim,1,1
Augsburg,Hamburg,1,0
Bayern Munich,Freiburg,6,2
Dortmund,Stuttgart,3,3
Heidenheim,M'gladbach,0,3
Wolfsburg,Leverkusen,1,3
FC Koln,Ein Frankfurt,3,4
RB Leipzig,Werder Bremen,2,0
St Pauli,Union Berlin,0,1
M'gladbach,RB Leipzig,0,0
Bayern Munich,St Pauli,3,1
Hoffenheim,Augsburg,3,0
Union Berlin,Heidenheim,1,2
Werder Bremen,FC Koln,1,1
Leverkusen,Dortmund,1,2
Hamburg,Stuttgart,2,1
Ein Frankfurt,Wolfsburg,1,1
Freiburg,Mainz,4,0
Mainz,M'gladbach,0,1
Augsburg,Leverkusen,2,0
FC Koln,St Pauli,1,1
Heidenheim,Freiburg,2,1
Stuttgart,Bayern Munich,0,5
Wolfsburg,Union Berlin,3,1
RB Leipzig,Ein Frankfurt,6,0
Hamburg,Werder Bremen,3,2
Dortmund,Hoffenheim,2,0
Union Berlin,RB Leipzig,3,1
Ein Frankfurt,Augsburg,1,0
Hoffenheim,Hamburg,4,1
M'gladbach,Wolfsburg,1,3
St Pauli,Heidenheim,2,1
Leverkusen,FC Koln,2,0
Freiburg,Dortmund,1,1
Bayern Munich,Mainz,2,2
Werder Bremen,Stuttgart,0,4
Dortmund,M'gladbach,2,0
Augsburg,Werder Bremen,0,0
FC Koln,Union Berlin,0,1
Hamburg,Ein Frankfurt,1,1
Stuttgart,Hoffenheim,0,0
Wolfsburg,Freiburg,3,4
RB Leipzig,Leverkusen,1,3
Mainz,St Pauli,0,0
Heidenheim,Bayern Munich,0,4
Ein Frankfurt,Dortmund,3,3
Freiburg,Hamburg,2,1
Heidenheim,FC Koln,2,2
Union Berlin,Mainz,2,2
Leverkusen,Stuttgart,1,4
M'gladbach,Augsburg,4,0
Bayern Munich,Wolfsburg,8,1
Stuttgart,Ein Frankfurt,3,2
Dortmund,Werder Bremen,3,0
Mainz,Heidenheim,2,1
Wolfsburg,St Pauli,2,1
FC Koln,Bayern Munich,1,3
Hoffenheim,M'gladbach,5,1
RB Leipzig,Freiburg,2,0
Augsburg,Union Berlin,1,1
Werder Bremen,Ein Frankfurt,3,3
Dortmund,St Pauli,3,2
FC Koln,Mainz,2,1
Hamburg,M'gladbach,0,0
Hoffenheim,Leverkusen,1,0
Wolfsburg,Heidenheim,1,1
RB Leipzig,Bayern Munich,1,5
Stuttgart,Union Berlin,1,1
Augsburg,Freiburg,2,2
St Pauli,Hamburg,0,0
Bayern Munich,Augsburg,1,2
Ein Frankfurt,Hoffenheim,1,3
Heidenheim,RB Leipzig,0,3
Leverkusen,Werder Bremen,1,0
Mainz,Wolfsburg,3,1
Union Berlin,Dortmund,0,3
M'gladbach,Stuttgart,0,3
Freiburg,FC Koln,2,1
St Pauli,RB Leipzig,1,1
Werder Bremen,Hoffenheim,0,2
FC Koln,Wolfsburg,1,0
Augsburg,St Pauli,2,1
Ein Frankfurt,Leverkusen,1,3
Hoffenheim,Union Berlin,3,1
RB Leipzig,Mainz,1,2
Werder Bremen,M'gladbach,1,1
Hamburg,Bayern Munich,2,2
Stuttgart,Freiburg,1,0
Dortmund,Heidenheim,3,2
Union Berlin,Ein Frankfurt,1,1
Freiburg,Werder Bremen,1,0
Heidenheim,Hamburg,0,2
Mainz,Augsburg,2,0
St Pauli,Stuttgart,2,1
Wolfsburg,Dortmund,1,2
M'gladbach,Leverkusen,1,1
FC Koln,RB Leipzig,1,2
Bayern Munich,Hoffenheim,5,1
Dortmund,Mainz,4,0
Ein Frankfurt,M'gladbach,3,0
Hamburg,Union Berlin,3,2
Hoffenheim,Freiburg,3,0
Leverkusen,St Pauli,4,0
Werder Bremen,Bayern Munich,0,3
Stuttgart,FC Koln,3,1
Augsburg,Heidenheim,1,0
RB Leipzig,Wolfsburg,2,2
Mainz,Hamburg,1,1
Bayern Munich,Ein Frankfurt,3,2
FC Koln,Hoffenheim,2,2
Union Berlin,Leverkusen,1,0
Wolfsburg,Augsburg,2,3
RB Leipzig,Dortmund,2,2
Freiburg,M'gladbach,2,1
St Pauli,Werder Bremen,2,1
Heidenheim,Stuttgart,3,3
Augsburg,FC Koln,2,0
Hoffenheim,St Pauli,0,1
Leverkusen,Mainz,1,1
M'gladbach,Union Berlin,1,0
Werder Bremen,Heidenheim,2,0
Dortmund,Bayern Munich,2,3
Stuttgart,Wolfsburg,4,0
Ein Frankfurt,Freiburg,2,0
Hamburg,RB Leipzig,1,2
Hamburg,Leverkusen,0,1
Bayern Munich,M'gladbach,4,1
Freiburg,Leverkusen,3,3
Heidenheim,Hoffenheim,2,4
Mainz,Stuttgart,2,2
RB Leipzig,Augsburg,2,1
Wolfsburg,Hamburg,1,2
FC Koln,Dortmund,1,2
St Pauli,Ein Frankfurt,0,0
Union Berlin,Werder Bremen,1,4
Liverpool,Bournemouth,4,2
Aston Villa,Newcastle,0,0
Brighton,Fulham,1,1
Sunderland,West Ham,3,0
Tottenham,Burnley,3,0
Wolves,Man City,0,4
Chelsea,Crystal Palace,0,0
Nott'm Forest,Brentford,3,1
Man United,Arsenal,0,1
Leeds,Everton,1,0
West Ham,Chelsea,1,5
Man City,Tottenham,0,2
Bournemouth,Wolves,1,0
Brentford,Aston Villa,1,0
Burnley,Sunderland,2,0
Arsenal,Leeds,5,0
Crystal Palace,Nott'm Forest,1,1
Everton,Brighton,2,0
Fulham,Man United,1,1
Newcastle,Liverpool,2,3
Chelsea,Fulham,2,0
Man United,Burnley,3,2
Sunderland,Brentford,2,1
Tottenham,Bournemouth,0,1
Wolves,Everton,2,3
Leeds,Newcastle,0,0
Brighton,Man City,2,1
Nott'm Forest,West Ham,0,3
Liverpool,Arsenal,1,0
Aston Villa,Crystal Palace,0,3
Arsenal,Nott'm Forest,3,0
Bournemouth,Brighton,2,1
Crystal Palace,Sunderland,0,0
Everton,Aston Villa,0,0
Fulham,Leeds,1,0
Newcastle,Wolves,1,0
West Ham,Tottenham,0,3
Brentford,Chelsea,2,2
Burnley,Liverpool,0,1
Man City,Man United,3,0
Liverpool,Everton,2,1
Brighton,Tottenham,2,2
Burnley,Nott'm Forest,1,1
West Ham,Crystal Palace,1,2
Wolves,Leeds,1,3
Man United,Chelsea,2,1
Fulham,Brentford,3,1
Bournemouth,Newcastle,0,0
Sunderland,Aston Villa,1,1
Arsenal,Man City,1,1
Brentford,Man United,3,1
Chelsea,Brighton,1,3
Crystal Palace,Liverpool,2,1
Leeds,Bournemouth,2,2
Man City,Burnley,5,1
Nott'm Forest,Sunderland,0,1
Tottenham,Wolves,1,1
Aston Villa,Fulham,3,1
Newcastle,Arsenal,1,2
Everton,West Ham,1,1
Bournemouth,Fulham,3,1
Leeds,Tottenham,1,2
Arsenal,West Ham,2,0
Man United,Sunderland,2,0
Chelsea,Liverpool,2,1
Aston Villa,Burnley,2,1
Everton,Crystal Palace,2,1
Newcastle,Nott'm Forest,2,0
Wolves,Brighton,1,1
Brentford,Man City,0,1
Nott'm Forest,Chelsea,0,3
Brighton,Newcastle,2,1
Burnley,Leeds,2,0
Crystal Palace,Bournemouth,3,3
Man City,Everton,2,0
Sunderland,Wolves,2,0
Fulham,Arsenal,0,1
Tottenham,Aston Villa,1,2
Liverpool,Man United,1,2
West Ham,Brentford,0,2
Leeds,West Ham,2,1
Chelsea,Sunderland,1,2
Newcastle,Fulham,2,1
Man United,Brighton,4,2
Brentford,Liverpool,3,2
Arsenal,Crystal Palace,1,0
Aston Villa,Man City,1,0
Bournemouth,Nott'm Forest,2,0
Wolves,Burnley,2,3
Everton,Tottenham,0,3
Brighton,Leeds,3,0
Burnley,Arsenal,0,2
Crystal Palace,Brentford,2,0
Fulham,Wolves,3,0
Nott'm Forest,Man United,2,2
Tottenham,Chelsea,0,1
Liverpool,Aston Villa,2,0
West Ham,Newcastle,3,1
Man City,Bournemouth,3,1
Sunderland,Everton,1,1
Tottenham,Man United,2,2
Everton,Fulham,2,0
West Ham,Burnley,3,2
Sunderland,Arsenal,2,2
Chelsea,Wolves,3,0
Aston Villa,Bournemouth,4,0
Brentford,Newcastle,3,1
Crystal Palace,Brighton,0,0
Nott'm Forest,Leeds,3,1
Man City,Liverpool,3,0
Burnley,Chelsea,0,2
Bournemouth,West Ham,2,2
Brighton,Brentford,2,1
Fulham,Sunderland,1,0
Liverpool,Nott'm Forest,0,3
Wolves,Crystal Palace,0,2
Newcastle,Man City,2,1
Leeds,Aston Villa,1,2
Arsenal,Tottenham,4,1
Man United,Everton,0,1
Brentford,Burnley,3,1
Man City,Leeds,3,2
Sunderland,Bournemouth,3,2
Everton,Newcastle,1,4
Tottenham,Fulham,1,2
Crystal Palace,Man United,1,2
Aston Villa,Wolves,1,0
Nott'm Forest,Brighton,0,2
West Ham,Liverpool,0,2
Chelsea,Arsenal,1,1
Bournemouth,Everton,0,1
Fulham,Man City,4,5
Newcastle,Tottenham,2,2
Arsenal,Brentford,2,0
Brighton,Aston Villa,3,4
Burnley,Crystal Palace,0,1
Wolves,Nott'm Forest,0,1
Leeds,Chelsea,3,1
Liverpool,Sunderland,1,1
Man United,West Ham,1,1
Aston Villa,Arsenal,2,1
Bournemouth,Chelsea,0,0
Everton,Nott'm Forest,3,0
Man City,Sunderland,3,0
Newcastle,Burnley,2,1
Tottenham,Brentford,2,0
Leeds,Liverpool,3,3
Brighton,West Ham,1,1
Fulham,Crystal Palace,1,2
Wolves,Man United,1,4
Chelsea,Everton,2,0
Liverpool,Brighton,2,0
Burnley,Fulham,2,3
Arsenal,Wolves,2,1
Crystal Palace,Man City,0,3
Nott'm Forest,Tottenham,3,0
Sunderland,Newcastle,1,0
West Ham,Aston Villa,2,3
Brentford,Leeds,1,1
Man United,Bournemouth,4,4
Newcastle,Chelsea,2,2
Bournemouth,Burnley,1,1
Brighton,Sunderland,0,0
Man City,West Ham,3,0
Wolves,Brentford,0,2
Tottenham,Liverpool,1,2
Everton,Arsenal,0,1
Leeds,Crystal Palace,4,1
Aston Villa,Man United,2,1
Fulham,Nott'm Forest,1,0
Man United,Newcastle,1,0
Nott'm Forest,Man City,1,2
Arsenal,Brighton,2,1
Brentford,Bournemouth,4,1
Burnley,Everton,0,0
Liverpool,Wolves,2,1
West Ham,Fulham,0,1
Chelsea,Aston Villa,1,2
Sunderland,Leeds,1,1
Crystal Palace,Tottenham,0,1
Burnley,Newcastle,1,3
Chelsea,Bournemouth,2,2
Nott'm Forest,Everton,0,2
West Ham,Brighton,2,2
Arsenal,Aston Villa,4,1
Man United,Wolves,1,1
Crystal Palace,Fulham,1,1
Liverpool,Leeds,0,0
Brentford,Tottenham,0,0
Sunderland,Man City,0,0
Aston Villa,Nott'm Forest,3,1
Brighton,Burnley,2,0
Wolves,West Ham,3,0
Bournemouth,Arsenal,2,3
Leeds,Man United,1,1
Everton,Brentford,2,4
Newcastle,Crystal Palace,2,0
Tottenham,Sunderland,1,1
Fulham,Liverpool,2,2
Man City,Chelsea,1,1
West Ham,Nott'm Forest,1,2
Bournemouth,Tottenham,3,2
Brentford,Sunderland,3,0
Crystal Palace,Aston Villa,0,0
Everton,Wolves,1,1
Fulham,Chelsea,2,1
Man City,Brighton,1,1
Burnley,Man United,2,2
Newcastle,Leeds,4,3
Arsenal,Liverpool,0,0
Man United,Man City,2,0
Chelsea,Brentford,2,0
Leeds,Fulham,1,0
Liverpool,Burnley,1,1
Sunderland,Crystal Palace,2,1
Tottenham,West Ham,1,2
Nott'm Forest,Arsenal,0,0
Wolves,Newcastle,0,0
Aston Villa,Everton,0,1
Brighton,Bournemouth,1,1
West Ham,Sunderland,3,1
Burnley,Tottenham,2,2
Fulham,Brighton,2,1
Man City,Wolves,2,0
Bournemouth,Liverpool,3,2
Brentford,Nott'm Forest,0,2
Crystal Palace,Chelsea,1,3
Newcastle,Aston Villa,0,2
Arsenal,Man United,2,3
Everton,Leeds,1,1
Brighton,Everton,1,1
Leeds,Arsenal,0,4
Wolves,Bournemouth,0,2
Chelsea,West Ham,3,2
Liverpool,Newcastle,4,1
Aston Villa,Brentford,0,1
Man United,Fulham,3,2
Nott'm Forest,Crystal Palace,1,1
Tottenham,Man City,2,2
Sunderland,Burnley,3,0
Leeds,Nott'm Forest,3,1
Man United,Tottenham,2,0
Arsenal,Sunderland,3,0
Bournemouth,Aston Villa,1,1
Burnley,West Ham,0,2
Fulham,Everton,1,2
Wolves,Chelsea,1,3
Newcastle,Brentford,2,3
Brighton,Crystal Palace,0,1
Liverpool,Man City,1,2
Chelsea,Leeds,2,2
Everton,Bournemouth,1,2
Tottenham,Newcastle,1,2
West Ham,Man United,1,1
Aston Villa,Brighton,1,0
Crystal Palace,Burnley,2,3
Man City,Fulham,3,0
Nott'm Forest,Wolves,0,0
Sunderland,Liverpool,0,1
Brentford,Arsenal,1,1
Wolves,Arsenal,2,2
Aston Villa,Leeds,1,1
Brentford,Brighton,0,2
Chelsea,Burnley,1,1
West Ham,Bournemouth,0,0
Man City,Newcastle,2,1
Crystal Palace,Wolves,1,0
Nott'm Forest,Liverpool,0,1
Sunderland,Fulham,1,3
Tottenham,Arsenal,1,4
Everton,Man United,0,1
Wolves,Aston Villa,2,0
Bournemouth,Sunderland,1,1
Burnley,Brentford,3,4
Liverpool,West Ham,5,2
Newcastle,Everton,2,3
Leeds,Man City,0,1
Brighton,Nott'm Forest,2,1
Fulham,Tottenham,2,1
Man United,Crystal Palace,2,1
Arsenal,Chelsea,2,1
Bournemouth,Brentford,0,0
Everton,Burnley,2,0
Leeds,Sunderland,0,1
Wolves,Liverpool,2,1
Aston Villa,Chelsea,1,4
Brighton,Arsenal,0,1
Fulham,West Ham,0,1
Man City,Nott'm Forest,2,2
Newcastle,Man United,2,1
Tottenham,Crystal Palace,1,3
Genoa,Lecce,0,0
Sassuolo,Napoli,0,2
Milan,Cremonese,1,2
Roma,Bologna,1,0
Cagliari,Fiorentina,1,1
Como,Lazio,2,0
Atalanta,Pisa,1,1
Juventus,Parma,2,0
Udinese,Verona,1,1
Inter,Torino,5,0
Cremonese,Sassuolo,3,2
Lecce,Milan,0,2
Bologna,Como,1,0
Parma,Atalanta,1,1
Napoli,Cagliari,1,0
Pisa,Roma,0,1
Genoa,Juventus,0,1
Torino,Fiorentina,0,0
Inter,Udinese,1,2
Lazio,Verona,4,0
Cagliari,Parma,2,0
Juventus,Inter,4,3
Fiorentina,Napoli,1,3
Roma,Torino,0,1
Atalanta,Lecce,4,1
Pisa,Udinese,0,1
Sassuolo,Lazio,1,0
Milan,Bologna,1,0
Verona,Cremonese,0,0
Como,Genoa,1,1
Lecce,Cagliari,1,2
Bologna,Genoa,2,1
Verona,Juventus,1,1
Udinese,Milan,0,3
Lazio,Roma,0,1
Cremonese,Parma,0,0
Torino,Atalanta,0,3
Fiorentina,Como,1,2
Inter,Sassuolo,2,1
Napoli,Pisa,3,2
Como,Cremonese,1,1
Juventus,Atalanta,1,1
Cagliari,Inter,0,2
Sassuolo,Udinese,3,1
Pisa,Fiorentina,0,0
Roma,Verona,2,0
Lecce,Bologna,2,2
Milan,Napoli,2,1
Parma,Torino,2,1
Genoa,Lazio,0,3
Verona,Sassuolo,0,1
Lazio,Torino,3,3
Parma,Lecce,0,1
Inter,Cremonese,4,1
Atalanta,Como,1,1
Udinese,Cagliari,1,1
Bologna,Pisa,4,0
Fiorentina,Roma,1,2
Napoli,Genoa,2,1
Juventus,Milan,0,0
Lecce,Sassuolo,0,0
Pisa,Verona,0,0
Torino,Napoli,1,0
Roma,Inter,0,1
Como,Juventus,2,0
Cagliari,Bologna,0,2
Genoa,Parma,0,0
Atalanta,Lazio,0,0
Milan,Fiorentina,2,1
Cremonese,Udinese,1,1
Milan,Pisa,2,2
Parma,Como,0,0
Udinese,Lecce,3,2
Napoli,Inter,3,1
Cremonese,Atalanta,1,1
Torino,Genoa,2,1
Sassuolo,Roma,0,1
Verona,Cagliari,2,2
Fiorentina,Bologna,2,2
Lazio,Juventus,1,0
Lecce,Napoli,0,1
Atalanta,Milan,1,1
Como,Verona,3,1
Juventus,Udinese,3,1
Roma,Parma,2,1
Bologna,Torino,0,0
Genoa,Cremonese,0,2
Inter,Fiorentina,3,0
Cagliari,Sassuolo,1,2
Pisa,Lazio,0,0
Udinese,Atalanta,1,0
Napoli,Como,0,0
Cremonese,Juventus,1,2
Verona,Inter,1,2
Fiorentina,Lecce,0,1
Torino,Pisa,2,2
Parma,Bologna,1,3
Milan,Roma,1,0
Sassuolo,Genoa,1,2
Lazio,Cagliari,2,0
Pisa,Cremonese,1,0
Como,Cagliari,0,0
Lecce,Verona,0,0
Juventus,Torino,0,0
Parma,Milan,2,2
Atalanta,Sassuolo,0,3
Bologna,Napoli,2,0
Genoa,Fiorentina,2,2
Roma,Udinese,2,0
Inter,Lazio,2,0
Cagliari,Genoa,3,3
Udinese,Bologna,0,3
Fiorentina,Juventus,1,1
Napoli,Atalanta,3,1
Verona,Parma,1,2
Cremonese,Roma,1,3
Lazio,Lecce,2,0
Inter,Milan,0,1
Torino,Como,1,5
Sassuolo,Pisa,2,2
Como,Sassuolo,2,0
Genoa,Verona,2,1
Parma,Udinese,0,2
Juventus,Cagliari,2,1
Milan,Lazio,1,0
Lecce,Torino,2,1
Pisa,Inter,0,2
Atalanta,Fiorentina,2,0
Roma,Napoli,0,1
Bologna,Cremonese,1,3
Sassuolo,Fiorentina,3,1
Inter,Como,4,0
Verona,Atalanta,3,1
Cremonese,Lecce,2,0
Cagliari,Roma,1,0
Lazio,Bologna,1,1
Napoli,Juventus,2,1
Pisa,Parma,0,1
Udinese,Genoa,1,2
Torino,Milan,2,3
Lecce,Pisa,1,0
Torino,Cremonese,1,0
Parma,Lazio,0,1
Atalanta,Cagliari,2,1
Milan,Sassuolo,2,2
Fiorentina,Verona,1,2
Udinese,Napoli,1,0
Genoa,Inter,1,2
Bologna,Juventus,0,1
Roma,Como,1,0
Lazio,Cremonese,0,0
Juventus,Roma,2,1
Cagliari,Pisa,2,2
Sassuolo,Torino,0,1
Fiorentina,Udinese,5,1
Genoa,Atalanta,0,1
Parma,Fiorentina,1,0
Lecce,Como,0,3
Torino,Cagliari,1,2
Udinese,Lazio,1,1
Pisa,Juventus,0,2
Milan,Verona,3,0
Cremonese,Napoli,0,2
Bologna,Sassuolo,1,1
Atalanta,Inter,0,1
Roma,Genoa,3,1
Cagliari,Milan,0,1
Como,Udinese,1,0
Genoa,Pisa,1,1
Sassuolo,Parma,1,1
Juventus,Lecce,1,1
Atalanta,Roma,1,0
Lazio,Napoli,0,2
Fiorentina,Cremonese,1,0
Verona,Torino,0,3
Inter,Bologna,3,1
Pisa,Como,0,3
Lecce,Roma,0,2
Sassuolo,Juventus,0,3
Bologna,Atalanta,0,2
Napoli,Verona,2,2
Lazio,Fiorentina,2,2
Parma,Inter,0,2
Torino,Udinese,1,2
Cremonese,Cagliari,2,2
Milan,Genoa,1,1
Como,Bologna,1,1
Udinese,Pisa,2,2
Roma,Sassuolo,2,0
Atalanta,Torino,2,0
Lecce,Parma,1,2
Fiorentina,Milan,1,1
Verona,Lazio,0,1
Inter,Napoli,2,2
Genoa,Cagliari,3,0
Juventus,Cremonese,5,0
Napoli,Parma,0,0
Inter,Lecce,1,0
Verona,Bologna,2,3
Como,Milan,1,3
Pisa,Atalanta,1,1
Udinese,Inter,0,1
Napoli,Sassuolo,1,0
Cagliari,Juventus,1,0
Parma,Genoa,0,0
Bologna,Fiorentina,1,2
Torino,Roma,0,2
Milan,Lecce,1,0
Cremonese,Verona,0,0
Lazio,Como,0,3
Inter,Pisa,6,2
Como,Torino,6,0
Fiorentina,Cagliari,1,2
Lecce,Lazio,0,0
Sassuolo,Cremonese,1,0
Atalanta,Parma,4,0
Genoa,Bologna,3,2
Juventus,Napoli,3,0
Roma,Milan,1,1
Verona,Udinese,1,3
Lazio,Genoa,3,2
Pisa,Sassuolo,1,3
Napoli,Fiorentina,2,1
Cagliari,Verona,4,0
Torino,Lecce,1,0
Como,Atalanta,0,0
Cremonese,Inter,0,2
Parma,Juventus,1,4
Udinese,Roma,1,0
Bologna,Milan,0,3
Verona,Pisa,0,0
Genoa,Napoli,2,3
Fiorentina,Torino,2,2
Bologna,Parma,0,1
Lecce,Udinese,2,1
Sassuolo,Inter,0,5
Juventus,Lazio,2,2
Atalanta,Cremonese,2,1
Roma,Cagliari,2,0
Pisa,Milan,1,2
Como,Fiorentina,1,2
Lazio,Atalanta,0,2
Inter,Juventus,3,2
Udinese,Sassuolo,1,2
Cremonese,Genoa,0,0
Parma,Verona,2,1
Torino,Bologna,1,2
Napoli,Roma,2,2
Cagliari,Lecce,0,2
Milan,Como,1,1
Sassuolo,Verona,3,0
Juventus,Como,0,2
Lecce,Inter,0,2
Cagliari,Lazio,0,0
Genoa,Torino,3,0
Atalanta,Napoli,2,1
Milan,Parma,0,1
Roma,Cremonese,3,0
Fiorentina,Pisa,1,0
Bologna,Udinese,1,0
Parma,Cagliari,1,1
Como,Lecce,3,1
Verona,Napoli,1,2
Inter,Genoa,2,0
Cremonese,Milan,0,2
Sassuolo,Atalanta,2,1
Torino,Lazio,2,0
Roma,Juventus,3,3
Pisa,Bologna,0,1
Udinese,Fiorentina,3,0
Napoli,Torino,2,1
Cagliari,Como,1,2
Atalanta,Udinese,2,2
Juventus,Pisa,4,0
Lecce,Cremonese,2,1
Bologna,Verona,1,2
Fiorentina,Parma,0,0
Genoa,Roma,2,1
Milan,Inter,1,0
Lazio,Sassuolo,2,1
Chiapas,Tigres UANL,0,4
Club Tijuana,Puebla,2,0
Cruz Azul,Monarcas,0,0
Queretaro,Club Leon,0,2
Monterrey,Club America,0,0
Santos Laguna,Atl. San Luis,2,1
Atlas,UNAM Pumas,1,1
Toluca,Guadalajara Chivas,2,1
Atlante,Pachuca,0,0
Monarcas,Monterrey,1,0
Club Leon,Club Tijuana,4,0
Club America,Chiapas,4,2
Pachuca,Atlas,0,3
Tigres UANL,Atlante,2,1
Atl. San Luis,Cruz Azul,1,2
Puebla,Toluca,1,3
UNAM Pumas,Queretaro,3,0
Guadalajara Chivas,Santos Laguna,0,1
Santos Laguna,Puebla,2,2
Club Tijuana,UNAM Pumas,1,0
Monarcas,Atl. San Luis,3,3
Cruz Azul,Guadalajara Chivas,0,0
Queretaro,Pachuca,0,1
Monterrey,Chiapas,2,1
Atlas,Tigres UANL,0,0
Toluca,Club Leon,2,1
Atlante,Club America,2,2
Chiapas,Atlante,1,2
Club Leon,Santos Laguna,3,0
Club America,Atlas,1,1
Pachuca,Club Tijuana,2,2
Tigres UANL,Queretaro,2,2
Atl. San Luis,Monterrey,1,1
Puebla,Cruz Azul,0,1
UNAM Pumas,Toluca,1,2
Guadalajara Chivas,Monarcas,1,1
Club Tijuana,Tigres UANL,2,1
Cruz Azul,Club Leon,1,1
Monarcas,Puebla,3,0
Queretaro,Club America,0,4
Monterrey,Atlante,1,1
Santos Laguna,UNAM Pumas,1,2
Atl. San Luis,Guadalajara Chivas,0,1
Atlas,Chiapas,1,1
Toluca,Pachuca,1,0
Chiapas,Queretaro,2,1
Club Leon,Monarcas,1,3
Club America,Club Tijuana,0,1
Pachuca,Santos Laguna,0,0
Tigres UANL,Toluca,1,1
Puebla,Atl. San Luis,1,0
UNAM Pumas,Cruz Azul,0,1
Guadalajara Chivas,Monterrey,1,2
Atlante,Atlas,1,0
Club Tijuana,Chiapas,2,0
Monarcas,UNAM Pumas,0,1
Cruz Azul,Pachuca,1,1
Queretaro,Atlante,0,1
Monterrey,Atlas,1,1
Santos Laguna,Tigres UANL,3,1
Atl. San Luis,Club Leon,0,2
Toluca,Club America,1,1
Guadalajara Chivas,Puebla,1,1
Chiapas,Toluca,2,0
Pachuca,Monarcas,3,2
Club Leon,Guadalajara Chivas,1,2
Club America,Santos Laguna,2,0
Tigres UANL,Cruz Azul,2,0
Atlas,Queretaro,0,0
Puebla,Monterrey,2,3
UNAM Pumas,Atl. San Luis,0,1
Atlante,Club Tijuana,1,2
Puebla,Club Leon,1,1
Monarcas,Tigres UANL,1,1
Cruz Azul,Club America,1,1
Atl. San Luis,Pachuca,1,0
Monterrey,Queretaro,3,2
Santos Laguna,Chiapas,0,0
Club Tijuana,Atlas,1,1
Toluca,Atlante,1,0
Guadalajara Chivas,UNAM Pumas,0,0
Chiapas,Cruz Azul,1,0
Club Leon,Monterrey,2,0
Club America,Monarcas,1,1
Queretaro,Club Tijuana,0,1
Pachuca,Guadalajara Chivas,1,0
Tigres UANL,Atl. San Luis,0,0
Atlas,Toluca,1,3
